"Host.Species","Lake","Year","Julian.Day","Julian","Date","Date2","Total","Uninfected.Adult","Uninfected.Juv","Uninfected.Males","Uninfected.Ephip","pasteuria.prev","brood.prev","micG.prev","coke.prev","Host.Density"
"retrocurva","Bishop",2022,2022292,292,"19-Oct-22","10/19/2022",221,115,81,9,0,0.0316742081447964,0.00452488687782805,0,0.0361990950226244,17517.3
"retrocurva","Bishop",2022,2022307,307,"3-Nov-22","11/3/2022",247,102,103,20,1,0.00809716599190283,0,0,0.0769230769230769,21576
"dentifera","Bruin",2022,2022158,158,"7-Jun-22","6/7/2022",194,95,42,0,0,0,0,0,0.293814432989691,5272.2
"dentifera","Bruin",2022,2022201,201,"20-Jul-22","7/20/2022",384,229,126,2,0,0,0,0.0625,0.00520833333333333,10435.7
"dentifera","Bruin",2022,2022215,215,"3-Aug-22","8/3/2022",257,70,74,0,0,0,0,0.404669260700389,0.0428015564202335,16455.1
"dentifera","Bruin",2022,2022243,243,"31-Aug-22","8/31/2022",189,75,72,0,0,0,0,0.0740740740740741,0.148148148148148,5136.3
"dentifera","Bruin",2022,2022257,257,"14-Sep-22","9/14/2022",140,75,35,2,0,0,0,0.128571428571429,0.0785714285714286,3804.7
"dentifera","Bruin",2022,2022271,271,"28-Sep-22","9/28/2022",42,21,13,3,0,0,0,0.0714285714285714,0.0476190476190476,1141.4
"dentifera","Bruin",2022,2022285,285,"12-Oct-22","10/12/2022",112,46,47,9,1,0,0,0.0446428571428571,0.0357142857142857,3043.7
"dentifera","Bruin",2022,2022299,299,"26-Oct-22","10/26/2022",153,39,17,67,14,0,0,0,0.104575163398693,4158
"dentifera","Bruin",2022,2022313,313,"9-Nov-22","11/9/2022",10,1,0,3,2,NA,NA,NA,NA,4755.8
"dubia","Bruin",2022,2022158,158,"7-Jun-22","6/7/2022",177,139,32,0,0,0,0,0,0.0338983050847458,4810.2
"dubia","Bruin",2022,2022201,201,"20-Jul-22","7/20/2022",200,72,127,0,0,0,0,0,0,11613.8
"dubia","Bruin",2022,2022215,215,"3-Aug-22","8/3/2022",228,113,112,0,0,0,0,0,0.0131578947368421,30640.4
"dubia","Bruin",2022,2022229,229,"17-Aug-22","8/17/2022",297,114,181,0,0,0.00673400673400673,0,0,0,15133.8
"dubia","Bruin",2022,2022243,243,"31-Aug-22","8/31/2022",228,111,113,0,0,0.0175438596491228,0,0,0,6196.2
"dubia","Bruin",2022,2022257,257,"14-Sep-22","9/14/2022",90,35,54,0,0,0,0,0.0111111111111111,0,2574.6
"dubia","Bruin",2022,2022271,271,"28-Sep-22","9/28/2022",37,18,19,0,0,0,0,0,0,1005.5
"dubia","Bruin",2022,2022285,285,"12-Oct-22","10/12/2022",111,54,57,0,0,0,0,0,0,3016.6
"dubia","Bruin",2022,2022299,299,"26-Oct-22","10/26/2022",32,9,19,4,0,0,0,0,0,869.6
"dubia","Bruin",2022,2022313,313,"9-Nov-22","11/9/2022",8,4,4,0,0,NA,NA,NA,NA,3804.7
"mendotae","Bruin",2022,2022229,229,"17-Aug-22","8/17/2022",81,40,36,0,0,0,0,0.0617283950617284,0.0123456790123457,4229.3
"pulicaria","Bruin",2022,2022158,158,"7-Jun-22","6/7/2022",235,133,56,29,15,0,0,0,0,124180.2
"pulicaria","Bruin",2022,2022201,201,"20-Jul-22","7/20/2022",230,45,169,2,0,0,0,0.0434782608695652,0.00869565217391304,28672.2
"pulicaria","Bruin",2022,2022215,215,"3-Aug-22","8/3/2022",204,53,139,8,0,0,0,0.00490196078431373,0,12110.6
"pulicaria","Bruin",2022,2022229,229,"17-Aug-22","8/17/2022",216,110,104,0,0,0,0,0.00462962962962963,0,11006.4
"pulicaria","Bruin",2022,2022243,243,"31-Aug-22","8/31/2022",247,104,138,0,0,0,0,0,0.0202429149797571,13425.1
"pulicaria","Bruin",2022,2022257,257,"14-Sep-22","9/14/2022",97,74,22,0,0,0,0,0,0.0103092783505155,2636.1
"pulicaria","Bruin",2022,2022271,271,"28-Sep-22","9/28/2022",1,1,0,0,0,NA,NA,NA,NA,27.2
"pulicaria","Bruin",2022,2022299,299,"26-Oct-22","10/26/2022",1,1,0,0,0,NA,NA,NA,NA,32
"retrocurva","Bruin",2022,2022158,158,"7-Jun-22","6/7/2022",181,150,25,0,0,0,0,0,0.0331491712707182,4918.9
"retrocurva","Bruin",2022,2022201,201,"20-Jul-22","7/20/2022",314,168,146,0,0,0,0,0,0,8533.3
"retrocurva","Bruin",2022,2022215,215,"3-Aug-22","8/3/2022",212,102,109,0,0,0.00471698113207547,0,0,0,9065.1
"retrocurva","Bruin",2022,2022229,229,"17-Aug-22","8/17/2022",184,86,95,0,0,0.0108695652173913,0,0.00543478260869565,0,9375.8
"retrocurva","Bruin",2022,2022243,243,"31-Aug-22","8/31/2022",344,234,92,0,0,0.00872093023255814,0,0,0.0436046511627907,9348.6
"retrocurva","Bruin",2022,2022257,257,"14-Sep-22","9/14/2022",204,96,58,0,0,0.112745098039216,0,0.00490196078431373,0.127450980392157,5543.9
"retrocurva","Bruin",2022,2022271,271,"28-Sep-22","9/28/2022",164,41,104,0,0,0.0914634146341463,0,0.00609756097560976,0.0182926829268293,4456.9
"retrocurva","Bruin",2022,2022285,285,"12-Oct-22","10/12/2022",216,94,13,0,0,0.342592592592593,0,0.0416666666666667,0.12037037037037,17610.2
"retrocurva","Bruin",2022,2022299,299,"26-Oct-22","10/26/2022",217,86,68,23,2,0.00921658986175115,0,0.0276497695852535,0.152073732718894,39314.9
"retrocurva","Bruin",2022,2022313,313,"9-Nov-22","11/9/2022",215,115,48,24,3,0.0186046511627907,0,0,0.0976744186046512,102250.5
"ceriodaphnia","Cedar",2022,2022220,220,"8-Aug-22","8/8/2022",1,1,0,NA,0,NA,NA,NA,NA,30.3
"ceriodaphnia","Cedar",2022,2022249,249,"6-Sep-22","9/6/2022",10,4,6,NA,0,NA,NA,NA,NA,271.8
"ceriodaphnia","Cedar",2022,2022262,262,"19-Sep-22","9/19/2022",3,3,0,NA,0,NA,NA,NA,NA,133.1
"dentifera","Cedar",2022,2022152,152,"1-Jun-22","6/1/2022",184,104,49,0,0,0.00543478260869565,0,0,0.146739130434783,5000.4
